Name,Location,Distance from downtown,Description,Current price (€),More information,Website
Arlington Hotel O'Connell Bridge,"Dublin City Centre, Dublin",300 m ,Standard Twin Room • 2 twin beds,€ 168,"1 night, 2 adults",https://hotel1.tiiny.site/
Clayton Hotel Burlington Road,"Ballsbridge, Dublin",2.3 km ,Standard King Room • 1 king bed,€ 150,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Chancery Hotel,"Dublin City Centre, Dublin",1 km ,Standard King Room • 1 queen bed,€ 229,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Beckett Locke,"Dublin City Centre, Dublin",2 km ,One-Bedroom Apartment • 1 bedroom • 1 living room • 1 queen bed,€ 200,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Grafton Hotel,"Saint Stephen's Green, Dublin",1 km ,Standard Double Room • 1 full bed,€ 303,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Harcourt Hotel,"Saint Stephen's Green, Dublin",1.7 km ,Double Room (Maximum Occupancy: 2 People) • 1 full bed,€ 177,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Mespil Hotel,"Ballsbridge, Dublin",2 km ,Superior Twin Room • 2 twin beds,€ 195,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Trinity Townhouse Hotel,"Saint Stephen's Green, Dublin",0.9 km ,Classic Double Room • 1 full bed,€ 356,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Dean Dublin,"Saint Stephen's Green, Dublin",1.6 km ,The Large • 1 king bed,€ 229,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Clontarf Castle Hotel,"Clontarf, Dublin",3.9 km ,Standard Twin Room • 2 twin beds,€ 185,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Trinity City Hotel,"Dublin City Centre, Dublin",0.6 km ,Double Room • 1 full bed,€ 225,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Zanzibar Locke,"Dublin City Centre, Dublin",450 m ,Locke Studio - Twin • Entire studio • 2 twin beds,€ 205,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Butlers Townhouse,"Ballsbridge, Dublin",2.6 km ,Standard Twin Room • 2 twin beds,€ 159,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Pembroke Townhouse,"Ballsbridge, Dublin",2.5 km ,Small Double Room • 1 full bed,€ 164,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Davenport,"Dublin City Centre, Dublin",1.1 km ,King Room • 1 king bed,€ 274,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Aloft Dublin City,"Dublin City Centre, Dublin",1.7 km ,Aloft King Room • 1 king bed,€ 187,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Staycity Aparthotels Dublin Tivoli,"Dublin City Centre, Dublin",1.3 km ,Standard Studio • Entire studio • 2 twin beds,€ 166,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Brooks Hotel,"Saint Stephen's Green, Dublin",0.9 km ,City Queen • 1 queen bed,€ 235,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
